fpl_id,opta_id,season_name,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts
64,178301,2020/21,60,63,168,3328,14,9,14,46,0,0,1,2,1,0,18,531,815.4,610.4,1721.0,314.0,0,0,0,0,0
64,178301,2021/22,75,75,131,2950,11,3,10,48,0,0,0,7,0,0,17,441,613.8,469.6,1345.0,242.9,0,0,0,0,0
64,178301,2022/23,75,73,175,3129,15,8,13,40,0,0,1,4,0,0,25,550,837.6,420.3,1308.0,256.7,0,0,0,0,36
64,178301,2023/24,80,89,228,3222,19,18,7,56,0,0,0,4,0,0,29,752,1024.6,588.5,1420.0,302.8,0,0,0,0,37
64,178301,2024/25,90,92,186,2593,16,8,10,40,0,0,0,2,0,0,32,631,766.0,345.2,1148.0,223.8,0,0,0,78,31
