fpl_id,opta_id,season_name,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts
671,75115,2015/16,55,53,46,771,5,0,1,15,0,0,0,0,0,0,5,161,0.0,0.0,0.0,0.0,0,0,0,0,0
671,75115,2016/17,65,60,63,1361,6,1,6,25,0,0,0,0,0,0,2,170,229.0,125.7,487.0,82.2,0,0,0,0,0
671,75115,2017/18,60,56,102,1981,8,2,6,33,0,0,0,0,0,0,13,282,392.2,288.4,799.0,147.5,0,0,0,0,0
671,75115,2018/19,60,69,168,2528,14,12,9,47,0,0,1,3,0,0,22,525,737.8,388.4,1137.0,225.0,0,0,0,0,0
671,75115,2019/20,80,74,116,2906,8,6,4,53,0,0,0,9,0,0,8,321,397.4,391.1,848.0,162.6,0,0,0,0,0
671,75115,2020/21,65,65,134,2081,12,6,5,37,0,0,0,2,0,0,22,409,557.4,230.4,761.0,154.7,0,0,0,0,0
671,75115,2021/22,75,71,75,1386,8,0,3,32,0,0,0,4,0,0,14,220,319.8,127.3,494.0,92.4,0,0,0,0,0
671,75115,2022/23,75,73,157,1870,18,6,10,16,0,0,0,4,0,0,20,526,722.2,271.3,1022.0,200.9,0,0,0,0,21
671,75115,2023/24,80,78,69,981,9,1,6,15,0,0,0,3,0,0,4,246,366.2,110.3,563.0,103.2,0,0,0,0,9
671,75115,2024/25,70,69,19,355,0,0,0,7,0,0,0,1,0,0,0,42,13.0,42.2,71.0,12.1,0,0,0,15,2
